,YEAR_x,TEAM,WINPERCENT_x,PREV_YEAR_x,GP_y,WINPERCENT_y,MIN_y,PTS_y,FGM_y,FGA_y,FGPercent_y,ThreePtMade_y,ThreePtAttempts_y,ThreePtPercent_y,FTM_y,FTA_y,FTPercent_y,OREB_y,DREB_y,REB_y,AST_y,TOV_y,STL_y,BLK_y,BLKA_y,PF_y,PFD_y,PlusMinus_y
0,2017-18,Golden State Warriors,0.792,2016-17,82,0.8170000000000001,48.2,115.9,43.1,87.1,49.5,12.0,31.2,38.3,17.8,22.6,78.8,9.4,35.0,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6
1,2017-18,Houston Rockets,0.733,2016-17,82,0.6709999999999999,48.2,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5.0,19.9,20.4,5.8
2,2017-18,Boston Celtics,0.708,2016-17,82,0.6459999999999999,48.2,108.0,38.6,85.1,45.4,12.0,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,2.6
3,2017-18,Toronto Raptors,0.6890000000000001,2016-17,82,0.622,48.2,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,12.7,8.3,4.9,4.8,20.8,20.3,4.2
4,2017-18,San Antonio Spurs,0.633,2016-17,82,0.7440000000000001,48.3,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22.0,79.7,10.0,33.9,43.9,23.8,13.4,8.0,5.9,4.1,18.3,19.8,7.2
5,2017-18,Minnesota Timberwolves,0.633,2016-17,82,0.37799999999999995,48.3,105.6,39.5,84.4,46.7,7.3,21.0,34.9,19.3,24.2,79.9,11.4,31.0,42.4,23.7,14.0,8.0,4.5,5.0,20.1,20.5,-1.1
6,2017-18,Cleveland Cavaliers,0.5870000000000001,2016-17,82,0.622,48.5,110.3,39.9,84.9,47.0,13.0,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,3.2
7,2017-18,Miami Heat,0.574,2016-17,82,0.5,48.2,103.2,39.0,85.8,45.5,9.9,27.0,36.5,15.2,21.6,70.6,10.6,33.0,43.6,21.2,13.4,7.2,5.7,4.9,20.5,18.7,1.1
8,2017-18,Oklahoma City Thunder,0.574,2016-17,82,0.573,48.3,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21.0,15.0,7.9,5.0,5.5,20.9,20.7,0.8
9,2017-18,Washington Wizards,0.5529999999999999,2016-17,82,0.598,48.4,109.2,41.3,87.0,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,1.8
10,2017-18,New Orleans Pelicans,0.5429999999999999,2016-17,82,0.439,48.4,104.9,37.7,85.4,44.2,10.0,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,11.5,7.0,4.8,5.5,16.6,19.9,0.2
11,2017-18,New Orleans Pelicans,0.5429999999999999,2016-17,82,0.415,48.5,104.3,39.1,87.0,45.0,9.4,26.8,35.0,16.7,22.3,75.0,8.6,35.1,43.7,22.8,12.9,7.8,5.5,4.2,18.2,19.3,-2.1
12,2017-18,New Orleans Pelicans,0.42200000000000004,2016-17,82,0.439,48.4,104.9,37.7,85.4,44.2,10.0,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,11.5,7.0,4.8,5.5,16.6,19.9,0.2
13,2017-18,New Orleans Pelicans,0.42200000000000004,2016-17,82,0.415,48.5,104.3,39.1,87.0,45.0,9.4,26.8,35.0,16.7,22.3,75.0,8.6,35.1,43.7,22.8,12.9,7.8,5.5,4.2,18.2,19.3,-2.1
14,2017-18,Portland Trail Blazers,0.532,2016-17,82,0.5,48.6,107.9,39.5,86.1,45.9,10.4,27.7,37.5,18.5,23.7,78.0,10.1,33.5,43.7,21.1,13.7,7.0,5.0,5.3,21.2,19.8,-0.5
15,2017-18,Indiana Pacers,0.532,2016-17,82,0.512,48.4,105.1,39.3,84.5,46.5,8.6,23.0,37.6,17.9,22.1,81.0,9.0,33.0,42.0,22.5,13.8,8.2,5.0,5.0,19.5,19.5,-0.2
16,2017-18,Milwaukee Bucks,0.522,2016-17,82,0.512,48.2,103.6,38.8,81.9,47.4,8.8,23.7,37.0,17.2,22.4,76.8,8.8,31.6,40.4,24.2,14.0,8.1,5.3,4.6,20.2,19.3,-0.2
17,2017-18,Philadelphia 76ers,0.512,2016-17,82,0.341,48.4,102.4,37.7,85.3,44.2,10.1,29.8,34.0,17.0,22.0,77.1,9.8,33.0,42.8,23.8,16.7,8.4,5.1,5.4,21.9,19.6,-5.7
18,2017-18,Denver Nuggets,0.511,2016-17,82,0.488,48.2,111.7,41.2,87.7,46.9,10.6,28.8,36.8,18.7,24.2,77.4,11.8,34.6,46.4,25.3,15.0,6.9,3.9,4.9,19.1,20.2,0.5
19,2017-18,LA Clippers,0.5,2016-17,82,0.622,48.2,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26.0,74.5,9.0,34.0,43.0,22.5,13.0,7.5,4.2,3.1,19.8,22.4,4.3
20,2017-18,Detroit Pistons,0.489,2016-17,82,0.451,48.3,101.3,39.9,88.8,44.9,7.7,23.4,33.0,13.9,19.3,71.9,11.1,34.6,45.7,21.1,11.9,7.0,3.8,4.1,17.9,17.5,-1.1
21,2017-18,New York Knicks,0.43799999999999994,2016-17,82,0.37799999999999995,48.4,104.3,39.6,88.5,44.7,8.6,24.7,34.8,16.6,21.1,78.8,12.0,33.2,45.2,21.8,13.9,7.1,5.5,4.6,20.3,18.5,-3.7
22,2017-18,Utah Jazz,0.40399999999999997,2016-17,82,0.622,48.2,100.7,37.0,79.5,46.6,9.6,26.0,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,13.6,6.7,5.0,3.8,18.8,20.2,3.9
23,2017-18,Los Angeles Lakers,0.38299999999999995,2016-17,82,0.317,48.1,104.6,39.3,87.4,45.0,8.9,25.7,34.6,17.0,22.6,75.4,11.4,32.1,43.5,20.9,15.2,8.2,3.9,5.4,20.7,18.5,-6.9
24,2017-18,Chicago Bulls,0.38299999999999995,2016-17,82,0.5,48.2,102.9,38.6,87.1,44.4,7.6,22.3,34.0,18.0,22.5,79.8,12.2,34.1,46.3,22.6,13.6,7.8,4.8,4.6,17.7,18.8,0.4
25,2017-18,Brooklyn Nets,0.375,2016-17,82,0.244,48.2,105.8,37.8,85.2,44.4,10.7,31.6,33.8,19.4,24.6,78.8,8.8,35.1,43.9,21.4,16.5,7.2,4.7,5.6,21.0,20.4,-6.7
26,2017-18,Memphis Grizzlies,0.37,2016-17,82,0.524,48.5,100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32.0,42.8,21.3,12.9,8.0,4.2,5.0,22.4,20.8,0.5
27,2017-18,Phoenix Suns,0.36200000000000004,2016-17,82,0.293,48.4,107.7,39.9,88.5,45.0,7.5,22.6,33.2,20.4,26.3,77.6,11.9,33.1,45.0,19.6,15.4,8.2,4.9,5.3,24.8,22.2,-5.6
28,2017-18,Dallas Mavericks,0.34,2016-17,82,0.402,48.2,97.9,36.2,82.3,44.0,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,19.1,19.4,-2.9
29,2017-18,Atlanta Hawks,0.304,2016-17,82,0.524,48.5,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,-0.9
30,2017-18,Orlando Magic,0.298,2016-17,82,0.354,48.3,101.1,38.3,87.0,44.0,8.5,26.1,32.8,16.0,21.4,74.7,9.8,33.3,43.2,22.2,13.3,7.1,4.8,5.1,19.3,18.7,-6.6
31,2017-18,Sacramento Kings,0.298,2016-17,82,0.39,48.5,102.8,37.9,82.1,46.1,9.0,23.9,37.6,18.1,23.3,77.5,8.7,32.3,41.1,22.5,14.6,7.6,4.0,5.1,20.3,20.1,-3.9
32,2016-17,Golden State Warriors,0.8170000000000001,2015-16,82,0.89,48.5,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10.0,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8
33,2016-17,San Antonio Spurs,0.7440000000000001,2015-16,82,0.8170000000000001,48.1,103.5,40.1,82.9,48.4,7.0,18.5,37.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5,10.6
34,2016-17,Houston Rockets,0.6709999999999999,2015-16,82,0.5,48.4,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,15.9,10.0,5.2,4.9,21.8,22.5,0.2
35,2016-17,Boston Celtics,0.6459999999999999,2015-16,82,0.585,48.2,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,3.2
36,2016-17,Utah Jazz,0.622,2015-16,82,0.488,48.7,97.7,36.1,80.4,44.9,8.5,23.9,35.5,17.1,23.0,74.4,10.7,32.5,43.2,19.0,14.9,7.7,5.2,4.7,20.2,19.9,1.8
37,2016-17,Toronto Raptors,0.622,2015-16,82,0.6829999999999999,48.2,102.7,36.7,81.3,45.1,8.6,23.3,37.0,20.8,26.7,77.7,10.2,33.2,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22.0,4.5
38,2016-17,Cleveland Cavaliers,0.622,2015-16,82,0.695,48.4,104.3,38.7,84.0,46.0,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6.0
39,2016-17,LA Clippers,0.622,2015-16,82,0.6459999999999999,48.4,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42.0,22.8,13.0,8.6,5.6,3.2,21.3,22.5,4.3
40,2016-17,Washington Wizards,0.598,2015-16,82,0.5,48.2,104.1,39.5,85.8,46.0,8.6,24.2,35.8,16.5,22.5,73.0,9.1,32.8,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1,-0.5
41,2016-17,Oklahoma City Thunder,0.573,2015-16,82,0.6709999999999999,48.4,110.2,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23.0,15.9,7.4,5.9,4.5,20.6,20.2,7.3
42,2016-17,Memphis Grizzlies,0.524,2015-16,82,0.512,48.4,99.1,36.8,83.6,44.0,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,-2.2
43,2016-17,Atlanta Hawks,0.524,2015-16,82,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35.0,15.6,20.0,78.3,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,3.6
44,2016-17,Indiana Pacers,0.512,2015-16,82,0.5489999999999999,48.5,102.2,38.3,85.2,45.0,8.1,23.0,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,14.9,9.0,4.8,4.5,20.0,20.4,1.7
45,2016-17,Milwaukee Bucks,0.512,2015-16,82,0.402,48.4,99.0,38.4,82.2,46.7,5.4,15.6,34.5,17.0,22.7,74.8,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,-4.2
46,2016-17,Chicago Bulls,0.5,2015-16,82,0.512,48.5,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21.0,78.7,11.1,35.2,46.3,22.8,13.9,6.0,5.7,5.7,18.8,18.7,-1.5
47,2016-17,Portland Trail Blazers,0.5,2015-16,82,0.537,48.3,105.1,38.6,85.9,45.0,10.5,28.5,37.0,17.4,23.0,75.4,11.6,33.9,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5,0.8
48,2016-17,Miami Heat,0.5,2015-16,82,0.585,48.4,100.0,38.4,81.7,47.0,6.1,18.0,33.6,17.1,23.0,74.5,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,1.6
49,2016-17,Denver Nuggets,0.488,2015-16,82,0.402,48.4,101.9,37.7,85.4,44.2,8.0,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21.0,20.9,-3.1
50,2016-17,Detroit Pistons,0.451,2015-16,82,0.537,48.5,102.0,37.9,86.4,43.9,9.0,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,13.5,7.0,3.7,4.5,19.0,21.6,0.6
51,2016-17,New Orleans Pelicans,0.439,2015-16,82,0.585,48.4,103.4,37.0,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79.0,9.0,35.0,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,2.7
52,2016-17,New Orleans Pelicans,0.439,2015-16,82,0.366,48.2,102.7,38.5,85.9,44.8,8.6,23.8,36.0,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,-3.8
53,2016-17,New Orleans Pelicans,0.415,2015-16,82,0.585,48.4,103.4,37.0,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79.0,9.0,35.0,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,2.7
54,2016-17,New Orleans Pelicans,0.415,2015-16,82,0.366,48.2,102.7,38.5,85.9,44.8,8.6,23.8,36.0,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,-3.8
55,2016-17,Dallas Mavericks,0.402,2015-16,82,0.512,48.8,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,-0.3
56,2016-17,Sacramento Kings,0.39,2015-16,82,0.402,48.3,106.6,40.0,86.4,46.4,8.0,22.4,35.9,18.5,25.5,72.5,10.6,33.7,44.2,24.5,16.2,8.9,4.5,5.3,20.4,22.0,-2.5
57,2016-17,Minnesota Timberwolves,0.37799999999999995,2015-16,82,0.354,48.5,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27.0,79.2,10.0,31.5,41.6,23.4,15.0,8.0,4.6,5.2,20.7,21.6,-3.5
58,2016-17,New York Knicks,0.37799999999999995,2015-16,82,0.39,48.3,98.4,36.9,84.0,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34.0,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,-2.7
59,2016-17,Orlando Magic,0.354,2015-16,82,0.42700000000000005,48.5,102.1,39.5,86.8,45.5,7.8,22.2,35.0,15.2,20.1,75.7,10.3,33.0,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,-1.6
60,2016-17,Philadelphia 76ers,0.341,2015-16,82,0.122,48.3,97.4,36.2,84.0,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6.0,5.7,21.7,19.2,-10.2
61,2016-17,Los Angeles Lakers,0.317,2015-16,82,0.207,48.1,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43.0,18.0,13.7,7.2,4.1,5.6,20.3,19.2,-9.6
62,2016-17,Phoenix Suns,0.293,2015-16,82,0.28,48.1,100.9,37.2,85.6,43.5,9.0,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,-6.7
63,2016-17,Brooklyn Nets,0.244,2015-16,82,0.256,48.2,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4.0,5.2,18.0,18.4,-7.4
64,2015-16,Golden State Warriors,0.89,2014-15,82,0.8170000000000001,48.1,110.0,41.6,87.0,47.8,10.8,27.0,39.8,16.0,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6.0,3.6,19.9,18.8,10.1
65,2015-16,San Antonio Spurs,0.8170000000000001,2014-15,82,0.6709999999999999,48.7,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78.0,9.8,33.8,43.6,24.4,14.0,8.0,5.4,4.4,19.1,19.7,6.2
66,2015-16,Cleveland Cavaliers,0.695,2014-15,82,0.6459999999999999,48.2,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43.0,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5
67,2015-16,Toronto Raptors,0.6829999999999999,2014-15,82,0.598,48.4,104.0,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5.0,20.9,20.3,3.1
68,2015-16,Oklahoma City Thunder,0.6709999999999999,2014-15,82,0.5489999999999999,48.4,104.0,38.8,86.8,44.7,7.7,22.7,33.9,18.6,24.6,75.4,12.8,34.7,47.5,20.5,14.7,7.3,5.5,4.6,22.3,20.4,2.2
69,2015-16,Miami Heat,0.585,2014-15,82,0.451,48.1,94.7,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30.0,39.1,19.8,14.8,7.8,4.5,4.4,20.0,20.9,-2.6
70,2015-16,Boston Celtics,0.585,2014-15,82,0.488,48.5,101.4,38.9,87.9,44.3,8.0,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,13.8,8.2,3.6,5.3,21.2,18.8,0.2
71,2015-16,New Orleans Pelicans,0.585,2014-15,82,0.5489999999999999,48.2,99.4,37.9,82.9,45.7,7.1,19.3,37.0,16.4,21.8,75.1,11.5,32.0,43.5,22.0,13.3,6.7,6.2,5.8,18.7,18.7,0.8
72,2015-16,New Orleans Pelicans,0.585,2014-15,82,0.402,48.5,94.2,35.5,84.5,42.0,6.1,19.1,31.8,17.0,22.8,74.8,10.0,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,-3.2
73,2015-16,New Orleans Pelicans,0.366,2014-15,82,0.5489999999999999,48.2,99.4,37.9,82.9,45.7,7.1,19.3,37.0,16.4,21.8,75.1,11.5,32.0,43.5,22.0,13.3,6.7,6.2,5.8,18.7,18.7,0.8
74,2015-16,New Orleans Pelicans,0.366,2014-15,82,0.402,48.5,94.2,35.5,84.5,42.0,6.1,19.1,31.8,17.0,22.8,74.8,10.0,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,-3.2
75,2015-16,Atlanta Hawks,0.585,2014-15,82,0.732,48.1,102.5,38.1,81.7,46.6,10.0,26.2,38.0,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4
76,2015-16,Indiana Pacers,0.5489999999999999,2014-15,82,0.46299999999999997,48.4,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14.0,6.2,4.6,4.7,21.2,21.4,0.3
77,2015-16,Detroit Pistons,0.537,2014-15,82,0.39,48.4,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,19.0,19.3,-1.0
78,2015-16,Portland Trail Blazers,0.537,2014-15,82,0.622,48.4,102.8,38.7,86.0,45.0,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2
79,2015-16,Dallas Mavericks,0.512,2014-15,82,0.61,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13.0,8.1,4.5,3.8,20.0,22.1,2.9
80,2015-16,Chicago Bulls,0.512,2014-15,82,0.61,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34.0,45.7,21.7,14.0,6.3,5.8,5.4,18.2,21.2,3.0
81,2015-16,Memphis Grizzlies,0.512,2014-15,82,0.6709999999999999,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2
82,2015-16,Houston Rockets,0.5,2014-15,82,0.6829999999999999,48.3,103.9,37.0,83.3,44.4,11.4,32.7,34.8,18.6,26.0,71.5,11.7,32.0,43.7,22.2,16.7,9.5,5.0,5.3,22.0,21.1,3.4
83,2015-16,Washington Wizards,0.5,2014-15,82,0.561,48.7,98.5,38.3,82.8,46.2,6.1,16.8,36.0,15.9,21.4,74.2,10.5,34.2,44.7,24.0,15.0,7.3,4.6,4.3,20.8,19.6,0.7
84,2015-16,Utah Jazz,0.488,2014-15,82,0.46299999999999997,48.1,95.1,35.4,79.2,44.7,7.4,21.7,34.3,17.0,23.5,72.1,12.0,31.9,44.0,19.9,15.3,7.6,6.0,4.7,19.3,19.6,0.2
85,2015-16,Orlando Magic,0.42700000000000005,2014-15,82,0.305,48.2,95.7,37.5,82.8,45.3,6.8,19.5,34.7,13.9,19.1,72.9,10.0,31.8,41.8,20.6,14.9,7.9,3.8,5.4,20.9,17.9,-5.7
86,2015-16,Milwaukee Bucks,0.402,2014-15,82,0.5,48.6,97.8,37.6,82.0,45.9,6.6,18.3,36.3,16.0,21.1,75.7,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,0.4
87,2015-16,Denver Nuggets,0.402,2014-15,82,0.366,48.5,101.5,37.8,87.3,43.3,8.0,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23.0,20.7,-3.5
88,2015-16,Sacramento Kings,0.402,2014-15,82,0.354,48.4,101.3,36.7,80.7,45.5,5.6,16.5,34.1,22.3,29.3,76.2,10.9,33.3,44.2,20.3,16.3,6.7,4.0,6.2,20.7,23.9,-3.7
89,2015-16,New York Knicks,0.39,2014-15,82,0.207,48.4,91.9,35.1,82.0,42.8,6.8,19.7,34.7,14.8,19.2,76.9,10.6,29.8,40.4,21.3,14.7,7.0,4.7,4.3,21.6,19.1,-9.3
90,2015-16,Minnesota Timberwolves,0.354,2014-15,82,0.195,48.3,97.8,36.4,83.2,43.8,5.0,14.9,33.2,20.0,25.7,77.6,11.6,29.3,40.9,21.6,15.0,8.1,4.0,5.5,19.2,21.4,-8.8
91,2015-16,Phoenix Suns,0.28,2014-15,82,0.47600000000000003,48.5,102.4,38.8,85.8,45.2,8.5,25.0,34.1,16.4,21.5,76.0,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,-0.9
92,2015-16,Brooklyn Nets,0.256,2014-15,82,0.46299999999999997,48.6,98.0,37.4,83.0,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32.0,42.4,20.9,13.8,7.0,4.1,4.5,19.3,20.0,-2.9
93,2015-16,Los Angeles Lakers,0.207,2014-15,82,0.256,48.6,98.5,37.2,85.6,43.5,6.5,18.9,34.4,17.5,23.6,74.1,11.6,32.3,43.9,20.9,13.2,7.0,4.5,4.8,21.2,19.4,-6.8
94,2015-16,Philadelphia 76ers,0.122,2014-15,82,0.22,48.3,92.0,33.7,82.6,40.8,8.4,26.3,32.0,16.1,23.8,67.6,11.9,30.9,42.9,20.5,17.7,9.6,5.9,5.5,21.7,20.2,-9.0
95,2014-15,Golden State Warriors,0.8170000000000001,2013-14,82,0.622,48.4,104.3,39.5,85.4,46.2,9.4,24.8,38.0,15.9,21.1,75.3,10.9,34.4,45.3,23.3,15.2,7.8,5.0,4.2,21.8,19.3,4.8
96,2014-15,Atlanta Hawks,0.732,2013-14,82,0.46299999999999997,48.4,101.0,37.3,81.6,45.8,9.4,25.8,36.3,17.0,21.7,78.1,8.7,31.3,40.0,24.9,15.3,8.3,4.0,4.3,19.2,20.0,-0.5
97,2014-15,Houston Rockets,0.6829999999999999,2013-14,82,0.659,48.4,107.7,38.0,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3,4.6
98,2014-15,Los Angeles Clippers,0.6829999999999999,2013-14,82,0.695,48.2,107.9,39.1,82.5,47.4,8.5,24.0,35.2,21.2,29.1,73.0,10.5,32.5,43.0,24.6,13.9,8.6,4.8,3.5,21.5,23.4,7.0
99,2014-15,Memphis Grizzlies,0.6709999999999999,2013-14,82,0.61,48.3,96.1,38.1,82.0,46.4,4.9,14.0,35.3,15.1,20.3,74.1,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5.0,19.1,18.9,1.6
100,2014-15,San Antonio Spurs,0.6709999999999999,2013-14,82,0.7559999999999999,48.2,105.4,40.6,83.5,48.6,8.5,21.4,39.7,15.7,20.0,78.5,9.3,34.0,43.3,25.2,14.4,7.4,5.1,4.6,18.2,19.3,7.7
101,2014-15,Cleveland Cavaliers,0.6459999999999999,2013-14,82,0.402,48.6,98.2,37.0,84.8,43.7,7.1,20.0,35.6,17.0,22.7,75.1,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20.0,19.5,-3.3
102,2014-15,Portland Trail Blazers,0.622,2013-14,82,0.659,48.4,106.7,39.1,87.0,45.0,9.4,25.3,37.2,19.1,23.5,81.5,12.5,34.0,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,4.0
103,2014-15,Chicago Bulls,0.61,2013-14,82,0.585,48.6,93.7,34.7,80.2,43.2,6.2,17.8,34.8,18.1,23.3,77.9,11.4,32.7,44.1,22.7,14.9,7.2,5.2,6.0,19.1,20.9,1.9
104,2014-15,Dallas Mavericks,0.61,2013-14,82,0.598,48.4,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,20.0,19.9,2.4
105,2014-15,Toronto Raptors,0.598,2013-14,82,0.585,48.7,101.3,36.5,81.9,44.5,8.7,23.4,37.2,19.6,25.1,78.2,11.4,31.1,42.5,21.2,14.1,7.0,4.2,4.3,23.0,22.1,3.2
106,2014-15,Washington Wizards,0.561,2013-14,82,0.537,48.9,100.7,38.7,84.4,45.9,7.9,20.8,38.0,15.3,20.9,73.1,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,1.3
107,2014-15,New Orleans Pelicans,0.5489999999999999,2013-14,82,0.415,48.4,99.7,37.8,82.5,45.9,5.9,15.9,37.3,18.2,23.6,76.9,11.4,30.3,41.7,21.3,13.8,7.9,6.4,6.1,22.6,20.3,-2.7
108,2014-15,New Orleans Pelicans,0.402,2013-14,82,0.415,48.4,99.7,37.8,82.5,45.9,5.9,15.9,37.3,18.2,23.6,76.9,11.4,30.3,41.7,21.3,13.8,7.9,6.4,6.1,22.6,20.3,-2.7
109,2014-15,Oklahoma City Thunder,0.5489999999999999,2013-14,82,0.72,48.3,106.2,39.0,82.7,47.1,8.1,22.4,36.1,20.2,25.0,80.6,10.8,33.9,44.7,21.9,15.3,8.3,6.1,3.6,22.7,20.4,6.3
110,2014-15,Milwaukee Bucks,0.5,2013-14,82,0.183,48.5,95.5,36.0,82.2,43.8,6.7,18.9,35.3,16.8,22.5,74.7,11.8,29.3,41.1,21.5,15.1,6.6,4.9,5.0,20.9,20.6,-8.2
111,2014-15,Boston Celtics,0.488,2013-14,82,0.305,48.1,96.2,36.5,83.9,43.5,7.0,21.1,33.3,16.2,20.8,77.7,12.0,30.5,42.5,21.0,15.4,7.1,4.2,4.5,21.3,19.1,-4.5
